基金碼,簡稱,年月日,近一年變動率%
T4702Y ,台新真吉利貨幣,20190307,0.403772
T0903Y ,統一黑馬     ,20190307,0.396754
T3702Y ,國泰台灣貨幣市場,20190307,0.382515
ZA4100C,國內貨幣市場_C,20190307,0.369633
T0602Y ,景順貨幣市場基金,20190307,0.360735
T1107Y ,摩根第一貨幣市場,20190307,0.353331
T2112Y ,柏瑞巨輪貨幣市場,20190307,0.343274
T2702Y ,宏利萬利貨幣市場,20190307,0.342825
T0814Y ,保德信金平衡 ,20190307,0.310449
T0815Y ,保德信台商全方位,20190307,0.29709
T3230Y ,野村精選貨幣 ,20190307,0.290107
T1803Y ,聯博貨幣市場 ,20190307,0.283086
T3102Y ,貝萊德新台幣貨幣,20190307,0.267814
T3222Y ,野村鴻揚貨幣 ,20190307,0.254137
T0413Y ,匯豐富泰二號貨幣,20190307,0.197747
T0105Y ,兆豐國際萬全 ,20190307,1e-06
00641R ,富邦日本反1  ,20190307,0.0
ZA123HB,日本反向ETF_B,20190307,0.0
T3803Y ,富達台灣成長 ,20190307,-0.067469
Y9997  ,報酬指數     ,20190307,-0.0729
ZA2100B,平衡價值型_B ,20190307,-0.185776
T0812Y ,保德信新世紀 ,20190307,-0.201817
00658L ,國泰日本正2  ,20190307,-0.280369
ZA123GB,日本二倍ETF_B,20190307,-0.280369
T4703Y ,台新高股息平衡,20190307,-0.288441
T2210Y ,FH中小       ,20190307,-0.313886
ZA123MA,其他市場反ETF_A,20190307,-0.391792
T3305Y ,聯邦中國龍   ,20190307,-0.526961
ZA11B0B,價值型_B     ,20190307,-0.542266
FRMSR  ,寶島報酬指數 ,20190307,-0.592
T2007Y ,日盛基金     ,20190307,-0.610369
T1617Y ,群益平衡王   ,20190307,-0.682
T0405Y ,匯豐安富     ,20190307,-0.71542
006204 ,永豐臺灣加權 ,20190307,-0.766294
ZA1130B,中小型_B     ,20190307,-0.858777
ZA2100A,平衡價值型_A ,20190307,-0.859735
