靡ㄩ絏	虏嘿	るら	ら厨筍瞯 %
Y9999  	舦计     	20180725	  -0.2692
Y9999  	舦计     	20180726	   0.4087
Y9999  	舦计     	20180727	   0.5919
Y9999  	舦计     	20180730	  -0.3814
Y9999  	舦计     	20180731	   0.2172
Y9999  	舦计     	20180801	   0.3674
Y9999  	舦计     	20180802	  -1.5170
Y9999  	舦计     	20180803	   0.7563
Y9999  	舦计     	20180806	   0.1060
Y9999  	舦计     	20180807	  -0.3688
Y9999  	舦计     	20180808	   0.8359
Y9999  	舦计     	20180809	  -0.4260
Y9999  	舦计     	20180810	  -0.4025
Y9999  	舦计     	20180813	  -2.1374
Y9999  	舦计     	20180814	   0.7006
Y9999  	舦计     	20180815	  -0.9930
Y9999  	舦计     	20180816	  -0.3065
Y9999  	舦计     	20180817	   0.0661
Y9999  	舦计     	20180820	   0.0757
Y9999  	舦计     	20180821	   0.8706
Y9999  	舦计     	20180822	   0.1112
Y9999  	舦计     	20180823	   0.5454
Y9999  	舦计     	20180824	  -0.4951
Y9999  	舦计     	20180827	   0.8591
Y9999  	舦计     	20180828	   0.8011
Y9999  	舦计     	20180829	   1.0011
Y9999  	舦计     	20180830	  -0.0524
Y9999  	舦计     	20180831	  -0.2687
Y9999  	舦计     	20180903	  -0.9013
Y9999  	舦计     	20180904	   0.5213
Y9999  	舦计     	20180905	  -0.2382
Y9999  	舦计     	20180906	  -0.6442
Y9999  	舦计     	20180907	  -0.7077
Y9999  	舦计     	20180910	  -1.1173
Y9999  	舦计     	20180911	   0.2471
Y9999  	舦计     	20180912	  -0.2765
Y9999  	舦计     	20180913	   0.0435
Y9999  	舦计     	20180914	   1.3136
Y9999  	舦计     	20180917	  -0.3637
Y9999  	舦计     	20180918	  -0.6317
Y9999  	舦计     	20180919	   0.9020
Y9999  	舦计     	20180920	  -0.2382
Y9999  	舦计     	20180921	   1.3018
Y9999  	舦计     	20180925	   0.0587
Y9999  	舦计     	20180926	  -0.0424
Y9999  	舦计     	20180927	   0.5467
Y9999  	舦计     	20180928	  -0.2524
Y9999  	舦计     	20181001	   0.4130
Y9999  	舦计     	20181002	  -1.1959
Y9999  	舦计     	20181003	  -0.5100
Y9999  	舦计     	20181004	  -1.3350
Y9999  	舦计     	20181005	  -1.8826
Y9999  	舦计     	20181008	  -0.5818
Y9999  	舦计     	20181009	   0.1042
Y9999  	舦计     	20181011	  -6.3125
Y9999  	舦计     	20181012	   2.4444
Y9999  	舦计     	20181015	  -1.4403
Y9999  	舦计     	20181016	   0.8078
Y9999  	舦计     	20181017	  -0.0196
Y9999  	舦计     	20181018	  -0.2546
Y9999  	舦计     	20181019	  -0.3463
Y9999  	舦计     	20181022	   0.5547
Y9999  	舦计     	20181023	  -1.9959
Y9999  	舦计     	20181024	  -0.1616
Y9999  	舦计     	20181025	  -2.4449
Y9999  	舦计     	20181026	  -0.3320
Y9999  	舦计     	20181029	   0.2860
Y9999  	舦计     	20181030	   0.1029
Y9999  	舦计     	20181031	   2.8975
Y9999  	舦计     	20181101	   0.4347
Y9999  	舦计     	20181102	   0.6283
Y9999  	舦计     	20181105	  -0.1694
Y9999  	舦计     	20181106	  -0.6558
Y9999  	舦计     	20181107	   0.8489
Y9999  	舦计     	20181108	   0.3730
Y9999  	舦计     	20181109	  -1.1593
Y9999  	舦计     	20181112	   0.0122
Y9999  	舦计     	20181113	  -0.5632
Y9999  	舦计     	20181114	   0.1641
Y9999  	舦计     	20181115	   0.3531
Y9999  	舦计     	20181116	  -0.2989
Y9999  	舦计     	20181119	   0.3225
Y9999  	舦计     	20181120	  -0.8618
Y9999  	舦计     	20181121	  -0.0253
Y9999  	舦计     	20181122	  -0.2752
Y9999  	舦计     	20181123	  -0.4880
Y9999  	舦计     	20181126	   1.0143
Y9999  	舦计     	20181127	   0.1358
Y9999  	舦计     	20181128	   1.0808
Y9999  	舦计     	20181129	   0.0106
Y9999  	舦计     	20181130	   0.0270
Y9999  	舦计     	20181203	   2.5267
Y9999  	舦计     	20181204	  -0.5359
Y9999  	舦计     	20181205	  -1.6542
Y9999  	舦计     	20181206	  -2.3397
Y9999  	舦计     	20181207	   0.7864
Y9999  	舦计     	20181210	  -1.1612
Y9999  	舦计     	20181211	   0.6167
Y9999  	舦计     	20181212	   1.1271
Y9999  	舦计     	20181213	   0.4310
Y9999  	舦计     	20181214	  -0.8581
Y9999  	舦计     	20181217	   0.1368
Y9999  	舦计     	20181218	  -0.7020
Y9999  	舦计     	20181219	   0.6625
Y9999  	舦计     	20181220	  -1.1110
Y9999  	舦计     	20181221	   0.0222
Y9999  	舦计     	20181222	  -0.3153
Y9999  	舦计     	20181224	  -0.0670
Y9999  	舦计     	20181225	  -1.1682
Y9999  	舦计     	20181226	  -0.5049
Y9999  	舦计     	20181227	   1.7151
Y9999  	舦计     	20181228	   0.8904
Y9999  	舦计     	20190102	  -1.7813
Y9999  	舦计     	20190103	  -0.6460
Y9999  	舦计     	20190104	  -1.1579
Y9999  	舦计     	20190107	   2.2147
Y9999  	舦计     	20190108	  -0.2784
Y9999  	舦计     	20190109	   1.8268
Y9999  	舦计     	20190110	  -0.1809
Y9999  	舦计     	20190111	   0.3982
Y9999  	舦计     	20190114	  -0.5244
Y9999  	舦计     	20190115	   1.0076
Y9999  	舦计     	20190116	  -0.4307
Y9999  	舦计     	20190117	   0.2595
Y9999  	舦计     	20190118	   0.4792
Y9999  	舦计     	20190121	   0.5423
Y9999  	舦计     	20190122	   0.0532
Y9999  	舦计     	20190123	  -0.4877
Y9999  	舦计     	20190124	   0.3120
Y9999  	舦计     	20190125	   0.9364
Y9999  	舦计     	20190128	   0.4385
Y9999  	舦计     	20190129	  -0.8163
Y9999  	舦计     	20190130	   0.0067
Y9999  	舦计     	20190211	   0.7248
Y9999  	舦计     	20190212	   0.9345
Y9999  	舦计     	20190213	  -0.0709
Y9999  	舦计     	20190214	  -0.0156
Y9999  	舦计     	20190215	  -0.2402
Y9999  	舦计     	20190218	   0.7998
Y9999  	舦计     	20190219	   0.0688
Y9999  	舦计     	20190220	   1.1840
Y9999  	舦计     	20190221	   0.4582
Y9999  	舦计     	20190222	   0.0329
Y9999  	舦计     	20190225	   0.6588
Y9999  	舦计     	20190226	   0.0060
Y9999  	舦计     	20190227	  -0.0229
