COID,MDATE,MKT
Y9999  ,20181210,-1.1612
Y9999  ,20181211,0.6167
Y9999  ,20181212,1.1271
Y9999  ,20181213,0.431
Y9999  ,20181214,-0.8581
Y9999  ,20181217,0.1368
Y9999  ,20181218,-0.702
Y9999  ,20181219,0.6625
Y9999  ,20181220,-1.111
Y9999  ,20181221,0.0222
Y9999  ,20181222,-0.3153
Y9999  ,20181224,-0.067
Y9999  ,20181225,-1.1682
Y9999  ,20181226,-0.5049
Y9999  ,20181227,1.7151
Y9999  ,20181228,0.8904
Y9999  ,20190102,-1.7813
Y9999  ,20190103,-0.646
Y9999  ,20190104,-1.1579
Y9999  ,20190107,2.2147
Y9999  ,20190108,-0.2784
Y9999  ,20190109,1.8268
Y9999  ,20190110,-0.1809
Y9999  ,20190111,0.3982
Y9999  ,20190114,-0.5244
Y9999  ,20190115,1.0076
Y9999  ,20190116,-0.4307
Y9999  ,20190117,0.2595
Y9999  ,20190118,0.4792
Y9999  ,20190121,0.5423
Y9999  ,20190122,0.0532
Y9999  ,20190123,-0.4877
Y9999  ,20190124,0.312
Y9999  ,20190125,0.9364
Y9999  ,20190128,0.4385
Y9999  ,20190129,-0.8163
Y9999  ,20190130,0.0067
Y9999  ,20190211,0.7248
Y9999  ,20190212,0.9345
Y9999  ,20190213,-0.0709
Y9999  ,20190214,-0.0156
Y9999  ,20190215,-0.2402
Y9999  ,20190218,0.7998
Y9999  ,20190219,0.0688
Y9999  ,20190220,1.184
Y9999  ,20190221,0.4582
Y9999  ,20190222,0.0329
Y9999  ,20190225,0.6588
Y9999  ,20190226,0.006
Y9999  ,20190227,-0.0229
